hash,block_number,from,token_b_address,token_a_amount_raw,token_a_address,token_b_amount_raw,token_b_address (1),fee
\x7c526fa12f54194b855ebcaa0aae44790a8f16bb56c620cea6170593132467b7,12168503,\xebf9114b818f83f7c3cba5c8fce3b47f8ed01156,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,284190458959901620052,\x956f47f50a910163d8bf957cf5846d573e7f87ca,133310000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,56900930000000000
\xf8143cd61314fd33af118f03694cef42636270a6aed670df56942dfa64a4cfbb,12168503,\xc7cd83707d51a8e6dcacdd5920f577c0c860fdf4,\x956f47f50a910163d8bf957cf5846d573e7f87ca,849525150328289056484,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,1528325836496934414952,\x956f47f50a910163d8bf957cf5846d573e7f87ca,21235154000000000
\x58bcd6e757596c4f6d5e195e3d85510a1c511221296cd5683562967057de8a7f,12168503,\xa094ec445f6c12bbd62c5be5d888c96ff8963cd0,\x956f47f50a910163d8bf957cf5846d573e7f87ca,7816939279211721614446,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,14053748516354142427960,\x956f47f50a910163d8bf957cf5846d573e7f87ca,29426322000000000
\x160e3b3c798f3648ffa5f69f67c59bed1e4f63f9ba3099186b593a47141e827f,12168503,\x6545fc974c9c7da50afc77b3d2035c7f2d2b394e,\x956f47f50a910163d8bf957cf5846d573e7f87ca,30245079403129694091697,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,54396436302947688155823,\x956f47f50a910163d8bf957cf5846d573e7f87ca,25585042000000000
\xd82bbf1a8897c1ffc25609c26957a5b6ed67cd07d98e990cd08718abaafacb34,12168504,\x0da6efe77135bfa3e12356321bdb84dfb732cd32,\x956f47f50a910163d8bf957cf5846d573e7f87ca,13540472340822802057088,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,24363000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,37149966000000000
\x6ff6578d49cfe56240753ab7f6a5d2187d5f16f9a82c0a6bfc4e826a2f42692e,12168504,\x40903584f46e4e59a16f726deb2f3088ff7d6306,\x956f47f50a910163d8bf957cf5846d573e7f87ca,5935088783453891618545,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,10681258909109883803206,\x956f47f50a910163d8bf957cf5846d573e7f87ca,22696350000000000
\x5c350387443dd9b55f1c58cf9d2eb5f822c217d19ba1e75bbb850b17ab1e8a65,12168504,\xba885141c07a7f4e440bbe05bad50bafa53fa3cc,\x956f47f50a910163d8bf957cf5846d573e7f87ca,1415367450623817222582,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,2547000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,26528500000000000
\x63e4e354c6c5357166049d95a7e7b2df2069988492102ec32b028e53710b33b9,12168504,\xae14618384c4dc921619a88c5f937b69f5c0df04,\x956f47f50a910163d8bf957cf5846d573e7f87ca,395537318166896424070,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,711770523745924300577,\x956f47f50a910163d8bf957cf5846d573e7f87ca,26534500000000000
\xeee80eebd39b13d9f1034f7c9086e6162ef24a809d01db06e9caaf2508d9e497,12168504,\xe0ef650b54d5323b30fe16bc7f16cc541f42b41d,\x956f47f50a910163d8bf957cf5846d573e7f87ca,5736857758462119409604,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,10328808123730238428059,\x956f47f50a910163d8bf957cf5846d573e7f87ca,24698589300000000
\xa83396b9b411ab61bb45dc3b775048d70fa9d76f0e0385acd82645eeecdadb70,12168504,\x205b993bb19930c80fb10ddf4f4c423e49c4caac,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,30937097899221476010610,\x956f47f50a910163d8bf957cf5846d573e7f87ca,17295731564380555381475,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,24653490000000000
